id	Jurisdiccion	Ubicación	Provincia	geo_longitude	geo_latitude	Condenados	Procesados
SPP1	SPP	28 De Noviembre	Santa Cruz	-67.5074527	-46.4524945	2	6
SPP2	SPP	Azul	Buenos Aires	-59.8617269	-36.7788716	109	150
SPP3	SPP	Bahía Blanca	Buenos Aires	-62.2654249	-38.717718	324	232
SPP4	SPP	Banda Del Río Salí	Tucumán	-65.1620573	-26.8399635	12	17
SPP5	SPP	Baradero	Buenos Aires	-59.5061612	-33.8116883	116	18
SPP6	SPP	Bariloche	Río Negro	-71.3099936	-41.1334672	27	33
SPP7	SPP	Bouwer	Córdoba	-64.1961332	-31.5578873	184	3101
SPP8	SPP	Cacheuta	Mendoza	-69.1175571	-33.0148093	774	153
SPP9	SPP	Caleta Olivia	Santa Cruz	-67.5174978	-46.442155	10	6
SPP10	SPP	Campana	Buenos Aires	-58.9589645	-34.1633268	643	683
SPF11	SPF	Candelaria	Misiones	-55.7448627	-27.4617294	113	92
SPP12	SPP	Catriló	La Pampa	-63.4229853	-36.4073385	1	0
SPP13	SPP	Charata	Chaco	-61.1873916	-27.2179017	25	3
SPP14	SPP	Chimbas	San Juan	-68.5117841	-31.4858087	482	558
SPP15	SPP	Choele Choel	Río Negro	-65.6551733	-39.2946503	15	17
SPP16	SPP	Chos Malal	Neuquen	-70.26779637	-37.3708709	4	1
SPP17	SPP	Cipolletti	Río Negro	-67.990978	-38.9355475	124	25
SPF18	SPF	Ciudad Autónoma de Buenos Aires	Ciudad Autónoma de Buenos Aires	-58.4332985	-34.6158527	266	1363
SPP19	SPP	Clorinda	Formosa	-57.7212694	-25.2889729	31	7
SPP20	SPP	Colonia Pinto	Santiago Del Estero	-64.2672395	-27.8329702	47	0
SPF21	SPF	Colonia Pinto	Santiago del Estero	-64.2672395	-27.8329702	65	64
SPP22	SPP	Comodoro Rivadavia	Chubut	-67.4807526	-45.8653443	89	68
SPP23	SPP	Concepción	Tucumán	-65.5927221	-27.3459249	378	422
SPP24	SPP	Concepción Del Uruguay	Entre Ríos	-58.2320306	-32.4847378	126	24
SPP25	SPP	Concordia	Entre Ríos	-58.0173305	-31.3972539	116	37
SPP26	SPP	Córdoba	Córdoba	-64.1868587	-31.3987552	757	1
SPP27	SPP	Corrientes	Corrientes	-58.8328658	-27.4720342	488	23
SPP28	SPP	Cruz Del Eje	Córdoba	-64.7978746	-30.7282247	1019	186
SPP29	SPP	Cutral Có	Neuquen	-69.2293804	-38.9379337	49	8
SPP30	SPP	Dolores	Buenos Aires	-57.6760281	-36.3145368	116	218
SPP31	SPP	El Dorado	Misiones	-55.0162775	-26.799249	202	64
